Created at,User ID,User Name,Text,Description,Location,Followers Count,Friends Count,Statuses Count,Profile Image Url
Fri Feb 10 11:18:11 +0000 2023,1624004799233499137,Олег Газманов,"@Kc7yoP5ZR54GEfm Спасибо! Мне этот «вой на болотах» направится! Чем его больше у них: тем лучше то, что я делаю! Кс… https://t.co/NkKK3nJFWs","Здесь ЭСКАДРОН моих твитов шальных. Экспортирую сальто(дорого) и #моиясныедни(даром) В шоу бизнесе главное-не кто выше ноту возьмёт, а кто дольше её протянет.",нынче здесь- завтра там,154167,189,25737,http://pbs.twimg.com/profile_images/1533520824380047360/RfXAqGOg_normal.jpg
Thu Feb 09 11:58:35 +0000 2023,1623652579161899010,Олег Газманов,"Это видео тем, кто говорил, что на мои концерты пригоняют людей.
Начался мой тур #вперёдроссия - #волгоград… https://t.co/5xpd2PwS7Y","Здесь ЭСКАДРОН моих твитов шальных. Экспортирую сальто(дорого) и #моиясныедни(даром) В шоу бизнесе главное-не кто выше ноту возьмёт, а кто дольше её протянет.",нынче здесь- завтра там,154167,189,25737,http://pbs.twimg.com/profile_images/1533520824380047360/RfXAqGOg_normal.jpg
Thu Feb 09 06:51:59 +0000 2023,1623575419000696835,Олег Газманов,"RT @Lora020563: «Глобализация уничтожает суверенитет государства. И зрители наши, к несчастью моему, становятся киноамериканцами. Едят поп-…","Здесь ЭСКАДРОН моих твитов шальных. Экспортирую сальто(дорого) и #моиясныедни(даром) В шоу бизнесе главное-не кто выше ноту возьмёт, а кто дольше её протянет.",нынче здесь- завтра там,154167,189,25737,http://pbs.twimg.com/profile_images/1533520824380047360/RfXAqGOg_normal.jpg
Thu Feb 09 06:49:55 +0000 2023,1623574900752453632,Олег Газманов,RT @Good_news_Rus: 🚛Идет рост производства российских грузовиков. Сейчас на автозаводе «УРАЛ» ведут масштабное обновление производственной…,"Здесь ЭСКАДРОН моих твитов шальных. Экспортирую сальто(дорого) и #моиясныедни(даром) В шоу бизнесе главное-не кто выше ноту возьмёт, а кто дольше её протянет.",нынче здесь- завтра там,154167,189,25737,http://pbs.twimg.com/profile_images/1533520824380047360/RfXAqGOg_normal.jpg
Tue Feb 07 09:30:22 +0000 2023,1622890504508563460,Олег Газманов,"RT @Good_news_Rus: В Ростове-на-Дону идет строительство нового тракторного завода, который станет одним из ключевых проектов «Ростсельмаша»…","Здесь ЭСКАДРОН моих твитов шальных. Экспортирую сальто(дорого) и #моиясныедни(даром) В шоу бизнесе главное-не кто выше ноту возьмёт, а кто дольше её протянет.",нынче здесь- завтра там,154167,189,25737,http://pbs.twimg.com/profile_images/1533520824380047360/RfXAqGOg_normal.jpg
Tue Jan 31 07:20:52 +0000 2023,1620321198507962368,Олег Газманов,RT @HumansNoContext: https://t.co/rrhygvZrjQ,"Здесь ЭСКАДРОН моих твитов шальных. Экспортирую сальто(дорого) и #моиясныедни(даром) В шоу бизнесе главное-не кто выше ноту возьмёт, а кто дольше её протянет.",нынче здесь- завтра там,154167,189,25737,http://pbs.twimg.com/profile_images/1533520824380047360/RfXAqGOg_normal.jpg
Tue Jan 31 07:19:28 +0000 2023,1620320846031237120,Олег Газманов,RT @TynR18: Die größte Solidaritätsaktion mit Russland auf TikTok bisher. Über 100 000 Deutsche. https://t.co/VVJ7V9v6db,"Здесь ЭСКАДРОН моих твитов шальных. Экспортирую сальто(дорого) и #моиясныедни(даром) В шоу бизнесе главное-не кто выше ноту возьмёт, а кто дольше её протянет.",нынче здесь- завтра там,154167,189,25737,http://pbs.twimg.com/profile_images/1533520824380047360/RfXAqGOg_normal.jpg
Tue Jan 31 07:17:19 +0000 2023,1620320305947475968,Олег Газманов,RT @Good_news_Rus: В Ростовской области появился инновационный Центр наукоемкого приборостроения: теперь на площадке Южного федерального ун…,"Здесь ЭСКАДРОН моих твитов шальных. Экспортирую сальто(дорого) и #моиясныедни(даром) В шоу бизнесе главное-не кто выше ноту возьмёт, а кто дольше её протянет.",нынче здесь- завтра там,154167,189,25737,http://pbs.twimg.com/profile_images/1533520824380047360/RfXAqGOg_normal.jpg
Tue Jan 31 07:14:48 +0000 2023,1620319670317498368,Олег Газманов,"RT @kompolk: Может не узнал бы об инциденте, если Пригожин не обратил на него внимание. В главном музее истории Екатеринбурга процветает ру…","Здесь ЭСКАДРОН моих твитов шальных. Экспортирую сальто(дорого) и #моиясныедни(даром) В шоу бизнесе главное-не кто выше ноту возьмёт, а кто дольше её протянет.",нынче здесь- завтра там,154167,189,25737,http://pbs.twimg.com/profile_images/1533520824380047360/RfXAqGOg_normal.jpg
Tue Jan 31 07:11:44 +0000 2023,1620318900423655424,Олег Газманов,RT @_PIVASIK: Случай на охоте. 😊 https://t.co/slpfRBXuL6,"Здесь ЭСКАДРОН моих твитов шальных. Экспортирую сальто(дорого) и #моиясныедни(даром) В шоу бизнесе главное-не кто выше ноту возьмёт, а кто дольше её протянет.",нынче здесь- завтра там,154167,189,25737,http://pbs.twimg.com/profile_images/1533520824380047360/RfXAqGOg_normal.jpg
Mon Jan 30 18:01:26 +0000 2023,1620120013456965633,Олег Газманов,"RT @peissan1: Мы предупреждали вас, что за Валиеву придётся ответить. Ну вот и ответили. Жрите, не обляпайтесь. https://t.co/TOmutxCN10","Здесь ЭСКАДРОН моих твитов шальных. Экспортирую сальто(дорого) и #моиясныедни(даром) В шоу бизнесе главное-не кто выше ноту возьмёт, а кто дольше её протянет.",нынче здесь- завтра там,154167,189,25737,http://pbs.twimg.com/profile_images/1533520824380047360/RfXAqGOg_normal.jpg
Mon Jan 30 17:58:01 +0000 2023,1620119156539686914,Олег Газманов,RT @alcor1905: Нельзя забывать. https://t.co/kSlEilYepp,"Здесь ЭСКАДРОН моих твитов шальных. Экспортирую сальто(дорого) и #моиясныедни(даром) В шоу бизнесе главное-не кто выше ноту возьмёт, а кто дольше её протянет.",нынче здесь- завтра там,154167,189,25737,http://pbs.twimg.com/profile_images/1533520824380047360/RfXAqGOg_normal.jpg
Mon Jan 30 17:52:30 +0000 2023,1620117765721055232,Олег Газманов,"@AlAnMaximov Да, конечно ,)))","Здесь ЭСКАДРОН моих твитов шальных. Экспортирую сальто(дорого) и #моиясныедни(даром) В шоу бизнесе главное-не кто выше ноту возьмёт, а кто дольше её протянет.",нынче здесь- завтра там,154167,189,25737,http://pbs.twimg.com/profile_images/1533520824380047360/RfXAqGOg_normal.jpg
Mon Jan 30 17:49:08 +0000 2023,1620116917192392704,Олег Газманов,"RT @1Pinavia: Клайпеда, после шторма. https://t.co/O4mHUc8kS6","Здесь ЭСКАДРОН моих твитов шальных. Экспортирую сальто(дорого) и #моиясныедни(даром) В шоу бизнесе главное-не кто выше ноту возьмёт, а кто дольше её протянет.",нынче здесь- завтра там,154167,189,25737,http://pbs.twimg.com/profile_images/1533520824380047360/RfXAqGOg_normal.jpg
Mon Jan 30 17:47:18 +0000 2023,1620116458910130177,Олег Газманов,"RT @cb7XKnMVSjVTyb5: В России в прошлом году было арестовано 400 человек за свои высказывания в интернете.
( Либерахи- Вау! Да! Мордор!)
В…","Здесь ЭСКАДРОН моих твитов шальных. Экспортирую сальто(дорого) и #моиясныедни(даром) В шоу бизнесе главное-не кто выше ноту возьмёт, а кто дольше её протянет.",нынче здесь- завтра там,154167,189,25737,http://pbs.twimg.com/profile_images/1533520824380047360/RfXAqGOg_normal.jpg
Mon Jan 30 12:30:18 +0000 2023,1620036680509190144,Олег Газманов,Эффективное средство от похудения https://t.co/yw7BCkavaL,"Здесь ЭСКАДРОН моих твитов шальных. Экспортирую сальто(дорого) и #моиясныедни(даром) В шоу бизнесе главное-не кто выше ноту возьмёт, а кто дольше её протянет.",нынче здесь- завтра там,154167,189,25737,http://pbs.twimg.com/profile_images/1533520824380047360/RfXAqGOg_normal.jpg
Mon Jan 30 12:29:14 +0000 2023,1620036415240413186,Олег Газманов,"RT @notfarmerwife: Это ни кадры из фильма ужасов - это Киев и огромные, невиданные до этого стаи ворон. После захвата церквей сатанистами и…","Здесь ЭСКАДРОН моих твитов шальных. Экспортирую сальто(дорого) и #моиясныедни(даром) В шоу бизнесе главное-не кто выше ноту возьмёт, а кто дольше её протянет.",нынче здесь- завтра там,154167,189,25737,http://pbs.twimg.com/profile_images/1533520824380047360/RfXAqGOg_normal.jpg
Mon Jan 30 12:24:33 +0000 2023,1620035235944763392,Олег Газманов,"RT @NatasaIvanova9: ⚡️❤️«Мы, буры из Южной Африки хотим сказать Вам, что поддерживаем русских в проведении спецоперации на Украине. Мы знае…","Здесь ЭСКАДРОН моих твитов шальных. Экспортирую сальто(дорого) и #моиясныедни(даром) В шоу бизнесе главное-не кто выше ноту возьмёт, а кто дольше её протянет.",нынче здесь- завтра там,154167,189,25737,http://pbs.twimg.com/profile_images/1533520824380047360/RfXAqGOg_normal.jpg
Mon Jan 30 12:22:00 +0000 2023,1620034592853102593,Олег Газманов,RT @centar_majak: 🇷🇺 https://t.co/TJvOZKuSb2 🇷🇺 https://t.co/VGsWntn4sr,"Здесь ЭСКАДРОН моих твитов шальных. Экспортирую сальто(дорого) и #моиясныедни(даром) В шоу бизнесе главное-не кто выше ноту возьмёт, а кто дольше её протянет.",нынче здесь- завтра там,154167,189,25737,http://pbs.twimg.com/profile_images/1533520824380047360/RfXAqGOg_normal.jpg
Thu Jan 26 09:37:38 +0000 2023,1618543678955618305,Олег Газманов,Поговорили и спели на тк Звезда в программе музыка + https://t.co/ALhFgxj9Hu https://t.co/3zLlpcavx8,"Здесь ЭСКАДРОН моих твитов шальных. Экспортирую сальто(дорого) и #моиясныедни(даром) В шоу бизнесе главное-не кто выше ноту возьмёт, а кто дольше её протянет.",нынче здесь- завтра там,154167,189,25737,http://pbs.twimg.com/profile_images/1533520824380047360/RfXAqGOg_normal.jpg
Wed Jan 25 09:13:47 +0000 2023,1618175286151106562,Олег Газманов,Премьера клипа и песни #солдатыроссии https://t.co/ecFNczk7Sh,"Здесь ЭСКАДРОН моих твитов шальных. Экспортирую сальто(дорого) и #моиясныедни(даром) В шоу бизнесе главное-не кто выше ноту возьмёт, а кто дольше её протянет.",нынче здесь- завтра там,154167,189,25737,http://pbs.twimg.com/profile_images/1533520824380047360/RfXAqGOg_normal.jpg
Sun Jan 22 22:40:42 +0000 2023,1617291191904526340,Олег Газманов,"RT @NatasaIvanova9: Когда ты,бандеровец,открываешь свой рот на тему:это не ваша земля,запомни,каждый метр земли Донбасса и всей Украины пол…","Здесь ЭСКАДРОН моих твитов шальных. Экспортирую сальто(дорого) и #моиясныедни(даром) В шоу бизнесе главное-не кто выше ноту возьмёт, а кто дольше её протянет.",нынче здесь- завтра там,154167,189,25737,http://pbs.twimg.com/profile_images/1533520824380047360/RfXAqGOg_normal.jpg
Sun Jan 22 22:24:33 +0000 2023,1617287127460462592,Олег Газманов,"RT @newnad_rod: С.С.Прокофьев. ""Вставайте люди русские"". Поёт вся страна. https://t.co/8yVHozPvMd https://t.co/0YmP5CpbjZ","Здесь ЭСКАДРОН моих твитов шальных. Экспортирую сальто(дорого) и #моиясныедни(даром) В шоу бизнесе главное-не кто выше ноту возьмёт, а кто дольше её протянет.",нынче здесь- завтра там,154167,189,25737,http://pbs.twimg.com/profile_images/1533520824380047360/RfXAqGOg_normal.jpg
Sun Jan 22 22:24:17 +0000 2023,1617287059064098816,Олег Газманов,RT @forlorned75: Russians are coming..Русские идут... https://t.co/XY9SsEpB7y,"Здесь ЭСКАДРОН моих твитов шальных. Экспортирую сальто(дорого) и #моиясныедни(даром) В шоу бизнесе главное-не кто выше ноту возьмёт, а кто дольше её протянет.",нынче здесь- завтра там,154167,189,25737,http://pbs.twimg.com/profile_images/1533520824380047360/RfXAqGOg_normal.jpg
Sun Jan 22 22:17:42 +0000 2023,1617285402640977920,Олег Газманов,"RT @Aleksej79499278: Просто резина летняя...и вообще, экипаж ""Абрамсов"" состоит из 4 человек, они могут высадиться и подтолкнуть его... htt…","Здесь ЭСКАДРОН моих твитов шальных. Экспортирую сальто(дорого) и #моиясныедни(даром) В шоу бизнесе главное-не кто выше ноту возьмёт, а кто дольше её протянет.",нынче здесь- завтра там,154167,189,25737,http://pbs.twimg.com/profile_images/1533520824380047360/RfXAqGOg_normal.jpg
Sun Jan 22 22:15:29 +0000 2023,1617284847289892864,Олег Газманов,"RT @olguzka: Телеканал “Пятница”звучит Саундтрек (музыкальное сопровождение) к ""Четыре свадьбы»-песня
як ""вбивають Русню”,телеканал “Пятниц…","Здесь ЭСКАДРОН моих твитов шальных. Экспортирую сальто(дорого) и #моиясныедни(даром) В шоу бизнесе главное-не кто выше ноту возьмёт, а кто дольше её протянет.",нынче здесь- завтра там,154167,189,25737,http://pbs.twimg.com/profile_images/1533520824380047360/RfXAqGOg_normal.jpg
Sun Jan 22 22:10:48 +0000 2023,1617283665498611713,Олег Газманов,"RT @bWqiqx5aLZwt4UD: Гей-пара в Атланте, США насиловала усыновленных детей, предлагала их другим геям, снимала и распространяла видео с изн…","Здесь ЭСКАДРОН моих твитов шальных. Экспортирую сальто(дорого) и #моиясныедни(даром) В шоу бизнесе главное-не кто выше ноту возьмёт, а кто дольше её протянет.",нынче здесь- завтра там,154167,189,25737,http://pbs.twimg.com/profile_images/1533520824380047360/RfXAqGOg_normal.jpg
Sun Jan 22 18:48:53 +0000 2023,1617232854622027778,Олег Газманов,RT @bocharik: Немцы шутют https://t.co/gDDmQMigze,"Здесь ЭСКАДРОН моих твитов шальных. Экспортирую сальто(дорого) и #моиясныедни(даром) В шоу бизнесе главное-не кто выше ноту возьмёт, а кто дольше её протянет.",нынче здесь- завтра там,154167,189,25737,http://pbs.twimg.com/profile_images/1533520824380047360/RfXAqGOg_normal.jpg
Sun Jan 22 18:48:17 +0000 2023,1617232702872354817,Олег Газманов,"RT @NatasaIvanova9: ⚡️Лукашенко вывез на лед донбасского ополченца, потерявшего ногу в боях за свою Родину и проходящего лечение в Минске —…","Здесь ЭСКАДРОН моих твитов шальных. Экспортирую сальто(дорого) и #моиясныедни(даром) В шоу бизнесе главное-не кто выше ноту возьмёт, а кто дольше её протянет.",нынче здесь- завтра там,154167,189,25737,http://pbs.twimg.com/profile_images/1533520824380047360/RfXAqGOg_normal.jpg
Sun Jan 22 18:47:58 +0000 2023,1617232621720817664,Олег Газманов,"RT @NatasaIvanova9: ⚡️Турки сжигают флаг Швеции у посольства Швеции в Анкаре в ответ на сожжение корана в Стокгольме,которое было одобрено…","Здесь ЭСКАДРОН моих твитов шальных. Экспортирую сальто(дорого) и #моиясныедни(даром) В шоу бизнесе главное-не кто выше ноту возьмёт, а кто дольше её протянет.",нынче здесь- завтра там,154167,189,25737,http://pbs.twimg.com/profile_images/1533520824380047360/RfXAqGOg_normal.jpg
Sun Jan 22 18:37:43 +0000 2023,1617230042538426369,Олег Газманов,"RT @sashakots: Тест-драйв Абрамса в условиях, максимально приближенных к украинским. 

Подробности в Дзен: 

https://t.co/TnXMsW8b4g https:…","Здесь ЭСКАДРОН моих твитов шальных. Экспортирую сальто(дорого) и #моиясныедни(даром) В шоу бизнесе главное-не кто выше ноту возьмёт, а кто дольше её протянет.",нынче здесь- завтра там,154167,189,25737,http://pbs.twimg.com/profile_images/1533520824380047360/RfXAqGOg_normal.jpg
Sun Jan 22 18:36:49 +0000 2023,1617229814905143297,Олег Газманов,"RT @NatasaIvanova9: ⚡️В ответ на слова Борреля, который сказал, что жители Африки ""не знают, где находится Донбасс и кто такой президент Вл…","Здесь ЭСКАДРОН моих твитов шальных. Экспортирую сальто(дорого) и #моиясныедни(даром) В шоу бизнесе главное-не кто выше ноту возьмёт, а кто дольше её протянет.",нынче здесь- завтра там,154167,189,25737,http://pbs.twimg.com/profile_images/1533520824380047360/RfXAqGOg_normal.jpg
Sun Jan 22 17:43:13 +0000 2023,1617216325302226944,Олег Газманов,"RT @Po4wKdKhuP1FRuG: Британский стендап-комик, актёр, писатель, теле- и радиоведущий Рассел Брэнд:
""Мы сражались бок о бок с Советским Союз…","Здесь ЭСКАДРОН моих твитов шальных. Экспортирую сальто(дорого) и #моиясныедни(даром) В шоу бизнесе главное-не кто выше ноту возьмёт, а кто дольше её протянет.",нынче здесь- завтра там,154167,189,25737,http://pbs.twimg.com/profile_images/1533520824380047360/RfXAqGOg_normal.jpg
Sun Jan 22 17:41:15 +0000 2023,1617215830621577218,Олег Газманов,RT @Good_news_Rus: Объединенная двигателестроительная корпорация Ростеха изготовила первую серийную газовую турбину ГТД-110М. Агрегат успеш…,"Здесь ЭСКАДРОН моих твитов шальных. Экспортирую сальто(дорого) и #моиясныедни(даром) В шоу бизнесе главное-не кто выше ноту возьмёт, а кто дольше её протянет.",нынче здесь- завтра там,154167,189,25737,http://pbs.twimg.com/profile_images/1533520824380047360/RfXAqGOg_normal.jpg
Sat Jan 21 09:01:45 +0000 2023,1616722709052035073,Олег Газманов,"RT @amicableru: Интересно ведущий ТГ-канала #РЫБАРЬ - некто Звинчук- трактует установку Верховного о деНАЦИФИКАЦИИ Украины, превратив её в…","Здесь ЭСКАДРОН моих твитов шальных. Экспортирую сальто(дорого) и #моиясныедни(даром) В шоу бизнесе главное-не кто выше ноту возьмёт, а кто дольше её протянет.",нынче здесь- завтра там,154167,189,25737,http://pbs.twimg.com/profile_images/1533520824380047360/RfXAqGOg_normal.jpg
Sat Jan 21 09:00:57 +0000 2023,1616722507406495744,Олег Газманов,"RT @Good_news_Rus: Школьник из Амурской области изобрел устройство, которое поможет незрячим людям ориентироваться в пространстве. С помощь…","Здесь ЭСКАДРОН моих твитов шальных. Экспортирую сальто(дорого) и #моиясныедни(даром) В шоу бизнесе главное-не кто выше ноту возьмёт, а кто дольше её протянет.",нынче здесь- завтра там,154167,189,25737,http://pbs.twimg.com/profile_images/1533520824380047360/RfXAqGOg_normal.jpg
Sat Jan 21 09:00:16 +0000 2023,1616722332780838913,Олег Газманов,RT @Good_news_Rus: В Тюменской области мебельная фабрика оперативно перестроила логистику и нашла новых поставщиков комплектующих. Теперь в…,"Здесь ЭСКАДРОН моих твитов шальных. Экспортирую сальто(дорого) и #моиясныедни(даром) В шоу бизнесе главное-не кто выше ноту возьмёт, а кто дольше её протянет.",нынче здесь- завтра там,154167,189,25737,http://pbs.twimg.com/profile_images/1533520824380047360/RfXAqGOg_normal.jpg
Thu Jan 19 08:57:55 +0000 2023,1615996967200464896,Олег Газманов,"RT @vladneizvestnii: Отправной точкой начала СВО послужила имитация ядерного удара по территории России, который выполнили американские бом…","Здесь ЭСКАДРОН моих твитов шальных. Экспортирую сальто(дорого) и #моиясныедни(даром) В шоу бизнесе главное-не кто выше ноту возьмёт, а кто дольше её протянет.",нынче здесь- завтра там,154167,189,25737,http://pbs.twimg.com/profile_images/1533520824380047360/RfXAqGOg_normal.jpg
Thu Jan 19 08:54:42 +0000 2023,1615996156328148992,Олег Газманов,"RT @RT_russian: «Установка ПВО была размещена в жилом квартале в нарушение норм международного гуманитарного права, о котором вы так радеет…","Здесь ЭСКАДРОН моих твитов шальных. Экспортирую сальто(дорого) и #моиясныедни(даром) В шоу бизнесе главное-не кто выше ноту возьмёт, а кто дольше её протянет.",нынче здесь- завтра там,154167,189,25737,http://pbs.twimg.com/profile_images/1533520824380047360/RfXAqGOg_normal.jpg
Thu Jan 19 08:48:20 +0000 2023,1615994557702848512,Олег Газманов,"С праздником, православные! https://t.co/DZAWhNe1W4","Здесь ЭСКАДРОН моих твитов шальных. Экспортирую сальто(дорого) и #моиясныедни(даром) В шоу бизнесе главное-не кто выше ноту возьмёт, а кто дольше её протянет.",нынче здесь- завтра там,154167,189,25737,http://pbs.twimg.com/profile_images/1533520824380047360/RfXAqGOg_normal.jpg
Thu Jan 19 08:36:16 +0000 2023,1615991518912724994,Олег Газманов,"RT @Good_news_Rus: Серийные Су-57 и Су-35С, испытания  ПД-8 и новые беспилотные аппараты: модернизация и расширение производства авиации.в…","Здесь ЭСКАДРОН моих твитов шальных. Экспортирую сальто(дорого) и #моиясныедни(даром) В шоу бизнесе главное-не кто выше ноту возьмёт, а кто дольше её протянет.",нынче здесь- завтра там,154167,189,25737,http://pbs.twimg.com/profile_images/1533520824380047360/RfXAqGOg_normal.jpg
Wed Jan 18 07:22:40 +0000 2023,1615610609487474693,Олег Газманов,"RT @Good_news_Rus: В Башкирии появилась первая в России лаборатория, в которой будут проводить молекулярно-генетическую экспертизу медоносн…","Здесь ЭСКАДРОН моих твитов шальных. Экспортирую сальто(дорого) и #моиясныедни(даром) В шоу бизнесе главное-не кто выше ноту возьмёт, а кто дольше её протянет.",нынче здесь- завтра там,154167,189,25737,http://pbs.twimg.com/profile_images/1533520824380047360/RfXAqGOg_normal.jpg
Wed Jan 18 07:17:09 +0000 2023,1615609219067138051,Олег Газманов,"RT @AgenturaNota: Российский защитник «Филадельфии Флайерз» Иван Проворов отказался от участия в акции в поддержку ЛГБТ-сообщества. 

«Я ув…","Здесь ЭСКАДРОН моих твитов шальных. Экспортирую сальто(дорого) и #моиясныедни(даром) В шоу бизнесе главное-не кто выше ноту возьмёт, а кто дольше её протянет.",нынче здесь- завтра там,154167,189,25737,http://pbs.twimg.com/profile_images/1533520824380047360/RfXAqGOg_normal.jpg
Wed Jan 18 07:06:54 +0000 2023,1615606639490465792,Олег Газманов,"RT @Vzgljad: Интересная обувь у некоторых ВСУшников. 
А так вообще-то они не фашисты. Да... https://t.co/dJoUuoGDF1","Здесь ЭСКАДРОН моих твитов шальных. Экспортирую сальто(дорого) и #моиясныедни(даром) В шоу бизнесе главное-не кто выше ноту возьмёт, а кто дольше её протянет.",нынче здесь- завтра там,154167,189,25737,http://pbs.twimg.com/profile_images/1533520824380047360/RfXAqGOg_normal.jpg
