Created at,User ID,User Name,Text,Description,Location,Followers Count,Friends Count,Statuses Count,Profile Image Url
Wed Dec 21 16:43:31 +0000 2022,1605604892806041621,Дмитрий Медведев,"Пекин, 21.12.22 https://t.co/Ut6hcCDGyi",Заместитель Председателя Совета Безопасности Российской Федерации. Аккаунт на английском - @MedvedevRussiaE,"Россия, Москва",4548529,44,1755,http://pbs.twimg.com/profile_images/2348558617/x0vh6bui3sq97vt4jd2n_normal.png
Wed Nov 30 13:43:55 +0000 2022,1597949548407975936,Дмитрий Медведев,Неистовая тётка Урсула сообщила миру о «стотысячных потерях» ВСУ в своём твиттере. Сообщение потёрли и отредактиров… https://t.co/5DBySOBD8t,Заместитель Председателя Совета Безопасности Российской Федерации. Аккаунт на английском - @MedvedevRussiaE,"Россия, Москва",4548529,44,1755,http://pbs.twimg.com/profile_images/2348558617/x0vh6bui3sq97vt4jd2n_normal.png
Mon Nov 28 13:51:30 +0000 2022,1597226683068993537,Дмитрий Медведев,Украинские курильщики продолжают грезить прямыми видеовключениями из Ялты и других мест. Можно организовать такое.… https://t.co/OX1hAsXbpM,Заместитель Председателя Совета Безопасности Российской Федерации. Аккаунт на английском - @MedvedevRussiaE,"Россия, Москва",4548529,44,1755,http://pbs.twimg.com/profile_images/2348558617/x0vh6bui3sq97vt4jd2n_normal.png
Mon Nov 21 12:51:19 +0000 2022,1594674822239469568,Дмитрий Медведев,"На встрече с президентом Кубы Мигелем Диас-Канелем обсудили вопросы сотрудничества в области безопасности, расширен… https://t.co/oMRNeIx3ox",Заместитель Председателя Совета Безопасности Российской Федерации. Аккаунт на английском - @MedvedevRussiaE,"Россия, Москва",4548529,44,1755,http://pbs.twimg.com/profile_images/2348558617/x0vh6bui3sq97vt4jd2n_normal.png
Wed Nov 16 07:04:04 +0000 2022,1592775492381593600,Дмитрий Медведев,История с украинским «ракетным ударом» по польской ферме доказывает лишь одно: Запад своей гибридной войной с Росси… https://t.co/Z4uxBuVNOH,Заместитель Председателя Совета Безопасности Российской Федерации. Аккаунт на английском - @MedvedevRussiaE,"Россия, Москва",4548529,44,1755,http://pbs.twimg.com/profile_images/2348558617/x0vh6bui3sq97vt4jd2n_normal.png
Fri Oct 28 17:05:57 +0000 2022,1586041592384659456,Дмитрий Медведев,"Либо сказать, чтобы они подтёрлись своим поганым расчётом. Известно, что из-за санкций туалетная бумага в ЕС сильно подорожала.",Заместитель Председателя Совета Безопасности Российской Федерации. Аккаунт на английском - @MedvedevRussiaE,"Россия, Москва",4548529,44,1755,http://pbs.twimg.com/profile_images/2348558617/x0vh6bui3sq97vt4jd2n_normal.png
Fri Oct 28 17:05:56 +0000 2022,1586041589259960320,Дмитрий Медведев,"Либо подготовить им счёт «за всё», что СССР передал Польше в период социализма. А это сотни миллиардов долларов.",Заместитель Председателя Совета Безопасности Российской Федерации. Аккаунт на английском - @MedvedevRussiaE,"Россия, Москва",4548529,44,1755,http://pbs.twimg.com/profile_images/2348558617/x0vh6bui3sq97vt4jd2n_normal.png
Fri Oct 28 17:05:56 +0000 2022,1586041586492002304,Дмитрий Медведев,"На польских дегенератов из МИДа, требующих от России компенсации «военных потерь», можно реагировать двояко.",Заместитель Председателя Совета Безопасности Российской Федерации. Аккаунт на английском - @MedvedevRussiaE,"Россия, Москва",4548529,44,1755,http://pbs.twimg.com/profile_images/2348558617/x0vh6bui3sq97vt4jd2n_normal.png
Tue Aug 09 09:36:27 +0000 2022,1556937444083236866,Дмитрий Медведев,"После украинского
ковёрного очередную нацистскую 
хрень в адрес граждан России выдала и эстонская тётка: «Посещение… https://t.co/nN0Fu5q2Hb",Заместитель Председателя Совета Безопасности Российской Федерации. Аккаунт на английском - @MedvedevRussiaE,"Россия, Москва",4548529,44,1755,http://pbs.twimg.com/profile_images/2348558617/x0vh6bui3sq97vt4jd2n_normal.png
Tue Aug 09 06:57:23 +0000 2022,1556897410412150788,Дмитрий Медведев,Главный украинский клоун предложил «призвать к ответственности всё население России». Последний раз такие идеи в от… https://t.co/o04RvT22N6,Заместитель Председателя Совета Безопасности Российской Федерации. Аккаунт на английском - @MedvedevRussiaE,"Россия, Москва",4548529,44,1755,http://pbs.twimg.com/profile_images/2348558617/x0vh6bui3sq97vt4jd2n_normal.png
Wed Jun 22 11:16:06 +0000 2022,1539567900998209536,Дмитрий Медведев,Вечная память погибшим за Родину https://t.co/euYfbQLoeW,Заместитель Председателя Совета Безопасности Российской Федерации. Аккаунт на английском - @MedvedevRussiaE,"Россия, Москва",4548529,44,1755,http://pbs.twimg.com/profile_images/2348558617/x0vh6bui3sq97vt4jd2n_normal.png
Thu Jun 16 09:12:52 +0000 2022,1537362563243048962,Дмитрий Медведев,"Вот любят европейские ценители лягушек, ливера и макарон посещать Киев. Пользы – ноль. Опять пообещали вступление в… https://t.co/afgawkMTaB",Заместитель Председателя Совета Безопасности Российской Федерации. Аккаунт на английском - @MedvedevRussiaE,"Россия, Москва",4548529,44,1755,http://pbs.twimg.com/profile_images/2348558617/x0vh6bui3sq97vt4jd2n_normal.png
Sun Jun 12 06:00:01 +0000 2022,1535864478658662400,Дмитрий Медведев,С Днём России! https://t.co/3HdrRNRcnN,Заместитель Председателя Совета Безопасности Российской Федерации. Аккаунт на английском - @MedvedevRussiaE,"Россия, Москва",4548529,44,1755,http://pbs.twimg.com/profile_images/2348558617/x0vh6bui3sq97vt4jd2n_normal.png
Fri Jun 03 11:54:03 +0000 2022,1532692085836500994,Дмитрий Медведев,О продовольствии https://t.co/RdADPEzweJ,Заместитель Председателя Совета Безопасности Российской Федерации. Аккаунт на английском - @MedvedevRussiaE,"Россия, Москва",4548529,44,1755,http://pbs.twimg.com/profile_images/2348558617/x0vh6bui3sq97vt4jd2n_normal.png
Fri Jun 03 11:50:14 +0000 2022,1532691123373854721,Дмитрий Медведев,Мир изменился https://t.co/JXSmMrbj8J,Заместитель Председателя Совета Безопасности Российской Федерации. Аккаунт на английском - @MedvedevRussiaE,"Россия, Москва",4548529,44,1755,http://pbs.twimg.com/profile_images/2348558617/x0vh6bui3sq97vt4jd2n_normal.png
Wed Mar 16 18:39:52 +0000 2022,1504165571692318722,Дмитрий Медведев,"Всем, кто заинтересован https://t.co/3BXpYk2NlN",Заместитель Председателя Совета Безопасности Российской Федерации. Аккаунт на английском - @MedvedevRussiaE,"Россия, Москва",4548529,44,1755,http://pbs.twimg.com/profile_images/2348558617/x0vh6bui3sq97vt4jd2n_normal.png
Thu Mar 10 10:37:40 +0000 2022,1501869893981020160,Дмитрий Медведев,Наблюдаю за великим исходом иностранных компаний с российского рынка https://t.co/1TyGiZty0g,Заместитель Председателя Совета Безопасности Российской Федерации. Аккаунт на английском - @MedvedevRussiaE,"Россия, Москва",4548529,44,1755,http://pbs.twimg.com/profile_images/2348558617/x0vh6bui3sq97vt4jd2n_normal.png
Tue Mar 08 14:01:11 +0000 2022,1501196334073888772,Дмитрий Медведев,"С Праздником, дорогие женщины! Любви, счастья и здоровья!
#8марта https://t.co/1895yjMUWX",Заместитель Председателя Совета Безопасности Российской Федерации. Аккаунт на английском - @MedvedevRussiaE,"Россия, Москва",4548529,44,1755,http://pbs.twimg.com/profile_images/2348558617/x0vh6bui3sq97vt4jd2n_normal.png
Tue Mar 01 11:18:53 +0000 2022,1498618773133221889,Дмитрий Медведев,"Там какой-то французский министр сегодня сказал, что они объявили нам экономическую войну. Следите за своей речью,… https://t.co/dWTpyFEG08",Заместитель Председателя Совета Безопасности Российской Федерации. Аккаунт на английском - @MedvedevRussiaE,"Россия, Москва",4548529,44,1755,http://pbs.twimg.com/profile_images/2348558617/x0vh6bui3sq97vt4jd2n_normal.png
